Title,Date,Valence,Chartpos,
Ella Baila Sola,2023-05-25T10:09:11Z,0.834,1,
WHERE SHE GOES,2023-05-25T10:09:11Z,0.234,2,
un x100to,2023-05-25T10:09:11Z,0.562,3,
La Bebe - Remix,2023-05-25T10:09:11Z,0.559,4,
Cupid - Twin Ver.,2023-05-25T10:09:11Z,0.726,5,
Flowers,2023-05-25T10:09:11Z,0.646,6,
Daylight,2023-05-25T10:09:11Z,0.324,7,
Kill Bill,2023-05-25T10:09:11Z,0.418,8,
As It Was,2023-05-25T10:09:11Z,0.662,9,
TQG,2023-05-25T10:09:11Z,0.607,10,
Classy 101,2023-05-25T10:09:11Z,0.672,11,
Acróstico,2023-05-25T10:09:11Z,0.353,12,
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023-05-25T10:09:11Z,0.277,13,
Creepin' (with The Weeknd & 21 Savage),2023-05-25T10:09:11Z,0.172,14,
BESO,2023-05-25T10:09:11Z,0.53,15,
Calm Down (with Selena Gomez),2023-05-25T10:09:11Z,0.811,16,
Die For You (with Ariana Grande) - Remix,2023-05-25T10:09:11Z,0.506,17,
See You Again (feat. Kali Uchis),2023-05-25T10:09:11Z,0.62,18,
TQM,2023-05-25T10:09:11Z,0.963,19,
Yandel 150,2023-05-25T10:09:11Z,0.58,20,
El Azul,2023-05-25T10:09:11Z,0.844,21,
Boy's a Liar Pt. 2,2023-05-25T10:09:11Z,0.857,22,
PRC,2023-05-25T10:09:11Z,0.893,23,
Tattoo,2023-05-25T10:09:11Z,0.303,24,
I Wanna Be Yours,2023-05-25T10:09:11Z,0.479,25,
Anti-Hero,2023-05-25T10:09:11Z,0.533,26,
Angels Like You,2023-05-25T10:09:11Z,0.494,27,
All My Life (feat. J. Cole),2023-05-25T10:09:11Z,0.693,28,
Last Night,2023-05-25T10:09:11Z,0.478,29,
Die For You,2023-05-25T10:09:11Z,0.508,30,
I'm Good (Blue),2023-05-25T10:09:11Z,0.304,31,
Cruel Summer,2023-05-25T10:09:11Z,0.564,32,
Say Yes To Heaven,2023-05-25T10:09:11Z,0.166,33,
Here With Me,2023-05-25T10:09:11Z,0.288,34,
Another Love,2023-05-25T10:09:11Z,0.139,35,
Starboy,2023-05-25T10:09:11Z,0.486,36,
People,2023-05-25T10:09:11Z,0.693,37,
AMG,2023-05-25T10:09:11Z,0.786,38,
Until I Found You (with Em Beihold) - Em Beihold Version,2023-05-25T10:09:11Z,0.342,39,
Moonlight,2023-05-25T10:09:11Z,0.896,40,
golden hour,2023-05-25T10:09:11Z,0.153,41,
I Ain't Worried,2023-05-25T10:09:11Z,0.822,42,
La Bachata,2023-05-25T10:09:11Z,0.85,43,
"Shakira: Bzrp Music Sessions, Vol. 53",2023-05-25T10:09:11Z,0.498,44,
Unholy (feat. Kim Petras),2023-05-25T10:09:11Z,0.206,45,
Frágil,2023-05-25T10:09:11Z,0.393,46,
Yellow,2023-05-25T10:09:11Z,0.285,47,
Por las Noches,2023-05-25T10:09:11Z,0.392,48,
Hey Mor,2023-05-25T10:09:11Z,0.399,49,
Abcdario,2023-05-25T10:09:11Z,0.416,50,Ella Baila Sola,2023-05-27T10:01:29Z,0.834,1
WHERE SHE GOES,2023-05-27T10:01:29Z,0.234,2
La Bebe - Remix,2023-05-27T10:01:29Z,0.559,3
un x100to,2023-05-27T10:01:29Z,0.562,4
Karma (feat. Ice Spice),2023-05-27T10:01:29Z,0.0734,5
Snow On The Beach (feat. More Lana Del Rey),2023-05-27T10:01:29Z,0.315,6
Cupid - Twin Ver.,2023-05-27T10:01:29Z,0.726,7
Hits Different,2023-05-27T10:01:29Z,0.239,8
Flowers,2023-05-27T10:01:29Z,0.646,9
Daylight,2023-05-27T10:01:29Z,0.324,10
Kill Bill,2023-05-27T10:01:29Z,0.418,11
As It Was,2023-05-27T10:01:29Z,0.662,12
TQG,2023-05-27T10:01:29Z,0.607,13
All My Life (feat. J. Cole),2023-05-27T10:01:29Z,0.733,14
Classy 101,2023-05-27T10:01:29Z,0.672,15
Anti-Hero,2023-05-27T10:01:29Z,0.533,16
TQM,2023-05-27T10:01:29Z,0.963,17
Calm Down (with Selena Gomez),2023-05-27T10:01:29Z,0.811,18
Acróstico,2023-05-27T10:01:29Z,0.353,19
Dance The Night (From Barbie The Album),2023-05-27T10:01:29Z,0.775,20
Creepin' (with The Weeknd & 21 Savage),2023-05-27T10:01:29Z,0.172,21
BESO,2023-05-27T10:01:29Z,0.53,22
El Azul,2023-05-27T10:01:29Z,0.844,23
Yandel 150,2023-05-27T10:01:29Z,0.58,24
Die For You (with Ariana Grande) - Remix,2023-05-27T10:01:29Z,0.506,25
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-05-27T10:01:29Z,0.277,26
See You Again (feat. Kali Uchis),2023-05-27T10:01:29Z,0.62,27
Last Night,2023-05-27T10:01:29Z,0.478,28
Boy's a Liar Pt. 2,2023-05-27T10:01:29Z,0.857,29
PRC,2023-05-27T10:01:29Z,0.893,30
I'm Good (Blue),2023-05-27T10:01:29Z,0.304,31
Tattoo,2023-05-27T10:01:29Z,0.303,32
Cruel Summer,2023-05-27T10:01:29Z,0.564,33
Die For You,2023-05-27T10:01:29Z,0.508,34
I Wanna Be Yours,2023-05-27T10:01:29Z,0.479,35
Angels Like You,2023-05-27T10:01:29Z,0.494,36
Say Yes To Heaven,2023-05-27T10:01:29Z,0.166,37
AMG,2023-05-27T10:01:29Z,0.786,38
Here With Me,2023-05-27T10:01:29Z,0.288,39
People,2023-05-27T10:01:29Z,0.693,40
I Ain't Worried,2023-05-27T10:01:29Z,0.822,41
Por las Noches,2023-05-27T10:01:29Z,0.392,42
La Bachata,2023-05-27T10:01:29Z,0.85,43
Starboy,2023-05-27T10:01:29Z,0.486,44
golden hour,2023-05-27T10:01:29Z,0.153,45
Another Love,2023-05-27T10:01:29Z,0.139,46
Moonlight,2023-05-27T10:01:29Z,0.896,47
Hey Mor,2023-05-27T10:01:29Z,0.399,48
Shakira: Bzrp Music Sessions, Vol. 53,2023-05-27T10:01:29Z,0.498,49
Until I Found You (with Em Beihold) - Em Beihold Version,2023-05-27T10:01:29Z,0.342,50

Ella Baila Sola,2023-05-29T10:06:20Z,0.834,1
La Bebe - Remix,2023-05-29T10:06:20Z,0.559,2
WHERE SHE GOES,2023-05-29T10:06:20Z,0.234,3
